CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-02-2483	0.295558744547719	0.0231327068564355	0.410119300991354	0	0.0798439086452437	0	0.0547338249919778	0	0	0.00497733101874312	0.0689988401688531	0.00128187051716685	0.030866732968482	0.0184954600521045	0.0119912792419208	0	0
TCGA-02-2485	0.727143633990305	0	0	0.0602288376691702	0.05059881515226	0.039696675513833	0.00311483855534885	0	0.0380685254466399	0.042821831101099	0.00722906725624828	0	0.0310977753150959	0	0	0	0
TCGA-04-1331	0.332712163430479	0	0.359278937301266	0.042751436383254	0.0489544673425211	0.00103148793420722	0.0261119558650934	0.00312900802506051	0.0160070783952659	0	0.0251077672962604	0.000571628290051313	0	0.00999103951751259	0	0.0106461789170247	0.123706851302004
TCGA-04-1347	0	0.184183177414057	0.214371449105462	0.0254113365915518	0.319089137657346	0	0.0402373091235986	0.0084034089698104	0	0	0	3.38679199825739e-05	0.00203964901320975	0	0.180460480228074	0.0257701839769071	0
TCGA-04-1349	0.553216262457391	0.0324421886171838	0.236465269167958	0.0692192195390662	0.0415088073666492	0.0196083736871785	0.00401213602599037	0	0.0304229059578287	0	0.00401488641042272	0.00216639935730632	0	0	0.00692355141302531	0	0
TCGA-04-1367	0.544946411700767	0.0856590003591722	0.250886830469424	0	0	0.00660545813130352	0.00898212572249414	0	0.0161544128085783	0	0.0135599789889848	0.0130391918930655	0	0.000645353066270619	0.0595212368599399	0	0
TCGA-04-1514	0.36527839071036	0.156260317263391	0.201413315694376	0.0423768717046859	0.113229632375298	0	0.00884075092420141	0	0.0410464789347023	0	0.0331841948544905	0.0175077525282394	0	0.0208622950102547	0	0	0
TCGA-04-1542	0.194492826518506	0.125804965038869	0.420715187373283	0.0408616695829638	0.136884473690241	0	0.0205691989692564	0	0.0195731711671732	0.0114951956481642	0	0.0113438383975874	0	0.0108358136638403	0	0.00742365995011613	0
TCGA-05-4389	0.353684797544009	0.101021513036186	0.216354262689537	0	0.0787842509395465	0.0104124146747795	0.0608340296631425	0.000328067668158127	0	0	0	0	0	0	0.178580663784641	0	0
TCGA-05-4395	0.517383980930306	0.0831630978405589	0.19884136739494	0.0435473202925311	0.0700845733599802	0.0202160451443574	0.0130215337280887	0	0.0384861461160295	0	0.00755534266859874	0.00408200803443002	0	0	0.00361858449017952	0	0
TCGA-05-4396	0.594090964109583	0.173212200793932	0	0	0.109999216849615	0	0	0.0216855885396789	0	0.0387179617541692	0	0	0.000949588053328012	0.00579397975065254	0.0389269321033514	0.0166235680456898	0
TCGA-05-4397	0.344424257626369	0	0.354597936815512	0.156517283454432	0.0388334075266474	0.0144848756793577	0	0	0	0.0153834837104869	0	0.00840605667582531	0.000772304944500637	0.00222235398042075	0.0643580395864481	0	0
TCGA-05-4420	0.144257187085277	0.0848221864727404	0.44097855122907	0.0316277459007718	0.109431019710306	0	0.025559622281214	0.00138860814939331	0.000391321356854288	0	0.0268797701830089	0	0	0	0	0	0.134663987631366
TCGA-05-5429	0.818714980368775	0.0179542776036672	0	0	0.00136248317213968	0.0486440719883677	0.055951947094166	0	0	0	0	0.00214167985678269	0	0	0.0476911808389906	0.000725002164586477	0.00681437691252478
TCGA-06-0145	0.63543651334876	0.172637001875317	0.097274058419575	0	0.0368014703320339	0	0.00421353403141601	0	0.0166367287139819	0.0180182583650621	0.0160790991208511	0.00290333579300267	0	0	0	0	0
TCGA-06-0157	0.776448442250479	0.112621604200296	0.0344101067264554	0	0.0403358724688407	0	0.00237870765961144	0	0.00654091771034757	0	0	0.012035281794313	0.0152290671896568	0	0	0	0
TCGA-06-0214	0.570731489865327	0.176093811724146	0.105067965815034	0	0.00144291272095786	0	0.0176137487382561	0	0.0112666842321991	0	0.0295182808867218	0	0.00467094771603689	0.0120675543923495	0.0715266039089714	0	0
TCGA-06-0686	0.669311173276578	0	0	0	0.0638520322535865	0	0.0160461688305554	0	0.0398068332050934	0	0.117217211395451	0	0.0654656550609871	0.0283009259777481	0	0	0
TCGA-06-0744	0.634892210837107	0.157637327735003	0.0615494705007628	0	0.0237033517855794	0.00556513006279099	0.00594751444412323	0.00310245771076195	0	0.0125584964899805	0.0473808086560322	0	0.0167768242148054	0	0.030886407563053	0	0
TCGA-06-0745	0.642729667446463	0.143849277616513	0.100454310830708	0	0.0357063798558951	0.000880364640058837	0.0100851095789984	0	0.014244836463176	0	0.0453855607942178	0	0.00666449277396964	0	0	0	0
TCGA-06-1086	0.859733544027431	0.0583977041315977	0	0.0156122726802753	0	0.0433735745780524	0	0	0.0124813373188454	0	0	0.000634428855732628	0	0.00976713840806533	0	0	0
TCGA-06-2570	0.823648868549107	0.0913838866959889	0.0750288779713995	0	0.00731498019126193	0	0	0	0	0	0	0	0.00262338659224244	0	0	0	0
TCGA-06-5411	0.907243735903491	0.0214907265960525	0	0.0052875645271211	0.00285771146700753	0.0201897141783644	0.0126866646081442	0	0.00849398708457737	0	0.00292238192025116	0.0092775768779789	0.00954993683701126	0	0	0	0
TCGA-06-5415	0.658435378039535	0.140260686557805	0.176937057813327	0.00570661889261354	0	0.00458665218347523	0	0	0	0.00103857889494166	0	0.00835400231355783	0.00468102530474511	0	0	0	0
TCGA-09-1666	0.408977462513101	0.105867235963159	0.478305100420638	0	0	0	0	0.000871205335877456	0	0	0	0.0059789957672238	0	0	0	0	0
TCGA-09-2045	0.468504252846889	0.112452297186803	0.398193377863786	0	0	0	0	0.000698394090196267	0	0.00442741584838526	0	0.0157242621639411	0	0	0	0	0
