chromosome	start	end	segVal	sample
1	565400	9698333	1.85258117402347	TCGA-02-2483
1	9699377	9897001	14.083752064742	TCGA-02-2483
1	9902128	15207952	2	TCGA-02-2483
1	15208212	16969095	3.05466442779648	TCGA-02-2483
1	17022269	55518682	2	TCGA-02-2483
1	55518752	61264342	1.83740538358425	TCGA-02-2483
1	61274534	121291080	2.12267528314212	TCGA-02-2483
1	142702814	199559505	2.33488612588172	TCGA-02-2483
1	199559586	249198692	2.4432698522124	TCGA-02-2483
2	15703	191263113	2.12463881785904	TCGA-02-2483
2	191278341	243048760	2	TCGA-02-2483
3	69244	8696316	1.80719956169019	TCGA-02-2483
3	8697372	11156700	2	TCGA-02-2483
3	11159938	15150797	2.3869322035811	TCGA-02-2483
3	15152062	31271736	2	TCGA-02-2483
3	31273355	31392328	1.42596997587268	TCGA-02-2483
3	31393049	31404407	0.9423615913263	TCGA-02-2483
3	31404466	31446505	1.30869344323206	TCGA-02-2483
3	31446862	197846636	2.1039913586588	TCGA-02-2483
4	68911	10906367	2	TCGA-02-2483
4	10906615	188674139	1.86564534726012	TCGA-02-2483
4	188674854	190921709	2	TCGA-02-2483
5	28949	20599433	1.75906716112014	TCGA-02-2483
5	20606497	20983429	2.28123024558366	TCGA-02-2483
5	20991405	75128893	1.60219313614848	TCGA-02-2483
5	75132546	75229436	1.01190445317276	TCGA-02-2483
5	75229614	180696889	1.44458691645378	TCGA-02-2483
6	203249	38082054	2.24907972843868	TCGA-02-2483
6	38084569	38470087	3.18280233168153	TCGA-02-2483
6	38474663	58432574	2.11286298368144	TCGA-02-2483
6	58432657	152615200	2	TCGA-02-2483
6	152616173	155133742	4.24992251159807	TCGA-02-2483
6	155145041	161383047	2	TCGA-02-2483
6	161383479	170918031	2.1755213470346	TCGA-02-2483
7	43259	38290714	2.26618197478528	TCGA-02-2483
7	38294114	38371334	4.46929804632198	TCGA-02-2483
7	38371711	84184949	2.32873506125294	TCGA-02-2483
7	84192226	159119220	2.17330517706548	TCGA-02-2483
8	161222	2778041	2.48311476428061	TCGA-02-2483
8	2782789	3620935	2.9734924578725	TCGA-02-2483
8	3621124	4817680	2.74734522612634	TCGA-02-2483
8	4817716	21103369	2.35467703161666	TCGA-02-2483
8	21104408	21448080	3.35876059519418	TCGA-02-2483
8	21448797	38243865	2.2617937267068	TCGA-02-2483
8	38260815	46924357	2.16070261922524	TCGA-02-2483
8	46936840	109923608	3.30944306850611	TCGA-02-2483
8	109924310	111449124	4.13364269691803	TCGA-02-2483
8	111455605	116095692	5.53240661176133	TCGA-02-2483
8	116099632	121974696	4.71849191312835	TCGA-02-2483
8	121975023	122106877	3.80309046652217	TCGA-02-2483
8	122111031	135505933	4.86344773470409	TCGA-02-2483
8	135507060	138985088	4.06795566621971	TCGA-02-2483
8	138985923	143921180	5.08264334370993	TCGA-02-2483
8	143922620	146293414	4.3643759796634	TCGA-02-2483
9	186603	1969766	0.172584385151768	TCGA-02-2483
9	1975039	17711155	2.30151783205487	TCGA-02-2483
9	17713235	21107470	1.08878970315025	TCGA-02-2483
9	21114237	26546985	0.171458451756342	TCGA-02-2483
9	26547175	26585590	0.484378392257816	TCGA-02-2483
9	26590984	32895426	1.17274607882663	TCGA-02-2483
9	32896388	32930288	1.51970014140679	TCGA-02-2483
9	32930327	33056378	1.38638394505467	TCGA-02-2483
9	33064336	44900526	2.22168068214414	TCGA-02-2483
9	68151440	103371459	2.16372738800326	TCGA-02-2483
9	103371554	111806089	2	TCGA-02-2483
9	111806275	119957149	3.73685509445406	TCGA-02-2483
9	119958853	141071475	4.73327345280706	TCGA-02-2483
10	104427	224961	2.14752842253934	TCGA-02-2483
10	240788	4798459	2.13228511609052	TCGA-02-2483
10	4800054	34797585	2	TCGA-02-2483
10	34804547	36072829	1.37135847396552	TCGA-02-2483
10	36074474	47742076	2	TCGA-02-2483
10	48318619	51110279	1.23047145919515	TCGA-02-2483
10	51122582	51586514	2	TCGA-02-2483
10	51779449	65042200	1.18872061567979	TCGA-02-2483
10	65056345	65166670	51.9868906679365	TCGA-02-2483
10	65203808	70556770	1.31547661988781	TCGA-02-2483
10	70561116	70649244	35.5024872800281	TCGA-02-2483
10	70657078	74135235	1.16239285324585	TCGA-02-2483
10	74135696	74256030	33.0593616753092	TCGA-02-2483
10	74262292	103331644	1.13797180451766	TCGA-02-2483
10	103340179	103419451	21.005700796905	TCGA-02-2483
10	103422758	123240287	1.16894698118303	TCGA-02-2483
10	123240625	123352382	24.5413123764661	TCGA-02-2483
10	123354726	126128552	1.15237131199682	TCGA-02-2483
10	126144839	126241886	26.6005306095818	TCGA-02-2483
10	126248607	127658076	1.1593016341002	TCGA-02-2483
10	127662935	127731102	27.3085760877269	TCGA-02-2483
10	127731197	128565456	1.26069929219169	TCGA-02-2483
10	128565859	128803977	20.691665216153	TCGA-02-2483
10	128804888	131562935	1.31894765052503	TCGA-02-2483
10	131567188	131590016	44.6795004644838	TCGA-02-2483
10	131594737	135434551	1.23156874620518	TCGA-02-2483
11	198510	13226013	0.971650479555403	TCGA-02-2483
11	13227981	60171193	2	TCGA-02-2483
11	60173107	134944770	2.21299882826774	TCGA-02-2483
12	180185	133777645	2	TCGA-02-2483
13	19029568	72781016	1.57692519401905	TCGA-02-2483
13	72783325	72868689	1.10982986148521	TCGA-02-2483
13	72870273	92301861	1.49387262583013	TCGA-02-2483
13	92303536	115106996	2.33884316806113	TCGA-02-2483
14	20203125	22478961	2	TCGA-02-2483
14	22479597	22977222	3.34841904807528	TCGA-02-2483
14	22977249	88653381	1.88419742368796	TCGA-02-2483
14	88656754	107285437	2.12620607883476	TCGA-02-2483
15	20071673	37643735	2.11287136357294	TCGA-02-2483
15	37648402	58675201	1.16446305055233	TCGA-02-2483
15	58676119	58884152	1.13056888897266	TCGA-02-2483
15	58893251	102400037	2	TCGA-02-2483
16	86671	312635	1.04062020283532	TCGA-02-2483
16	318413	35139485	2	TCGA-02-2483
16	46507944	90163275	2.13029222820682	TCGA-02-2483
17	6689	13000883	2.2319557129647	TCGA-02-2483
17	13001700	19675775	2.13085949848666	TCGA-02-2483
17	19682327	54823170	2.16172230077614	TCGA-02-2483
17	54824122	66925910	2.27480742391744	TCGA-02-2483
17	66927420	69863719	2.43674726794793	TCGA-02-2483
17	69866254	81049726	2	TCGA-02-2483
18	99319	41358400	2.3525494487624	TCGA-02-2483
18	41358582	68857044	2.33915680343168	TCGA-02-2483
18	68857666	68867258	4.0021867972037	TCGA-02-2483
18	68871013	78015057	3.66984098164682	TCGA-02-2483
19	260912	59095126	2.33480019815792	TCGA-02-2483
20	61795	489009	0.701162124026293	TCGA-02-2483
20	493205	13547830	2.70243816618309	TCGA-02-2483
20	13557267	20395796	2.83797912159793	TCGA-02-2483
20	20397254	20753683	3.97227419976783	TCGA-02-2483
20	20754959	20795202	3.5352810001386	TCGA-02-2483
20	20795251	59077240	2.21106713518715	TCGA-02-2483
20	59077648	62721250	2.11884688153789	TCGA-02-2483
20	62727915	62912463	0.56692118310284	TCGA-02-2483
21	11001104	29357172	2.2930545093335	TCGA-02-2483
21	29368095	30214959	1.88994062694533	TCGA-02-2483
21	30214979	48084820	2.120015235581	TCGA-02-2483
22	16055070	51219006	2	TCGA-02-2483
X	169805	13884698	1.75578350860721	TCGA-02-2483
X	13890863	26973439	1.54569454857327	TCGA-02-2483
X	26978078	90173519	2	TCGA-02-2483
X	90191422	95926872	2.70679468113784	TCGA-02-2483
X	95927777	96763922	3.7158655871914	TCGA-02-2483
X	96781161	141921809	2.1428634570676	TCGA-02-2483
X	141924865	154983133	2.86492874085182	TCGA-02-2483
X	154990627	155233925	2.78422093763265	TCGA-02-2483
1	565400	25173037	4.03960184160682	TCGA-02-2485
1	25178310	25286151	2.20829208175932	TCGA-02-2485
1	25293941	121291080	3.99385010765266	TCGA-02-2485
1	142702814	241469725	4.063358504882	TCGA-02-2485
1	241476691	241555823	2.16862457895058	TCGA-02-2485
1	241557595	241954191	2	TCGA-02-2485
1	241954253	242198204	2.52983521254315	TCGA-02-2485
1	242200884	245796256	67.2987531008295	TCGA-02-2485
1	245803248	248621163	2	TCGA-02-2485
1	248635419	249198692	4.39821509666346	TCGA-02-2485
2	15703	243048760	4.09151623076302	TCGA-02-2485
3	69244	197846636	3.98475976795496	TCGA-02-2485
4	68911	53288276	2.89524462979169	TCGA-02-2485
4	53289704	54728147	4.51321328199168	TCGA-02-2485
4	54728529	55737651	80.7661384294723	TCGA-02-2485
4	55744347	56136106	4.85546399726292	TCGA-02-2485
4	56138412	90558634	2.89858833990911	TCGA-02-2485
4	90565207	190921709	2.98830915555649	TCGA-02-2485
5	28949	180696889	4.04785131184802	TCGA-02-2485
6	203249	170918031	4.0693182850993	TCGA-02-2485
7	43259	38290714	5.1684264025222	TCGA-02-2485
7	38294114	38358728	11.7377922145957	TCGA-02-2485
